N, M, Mean, Standard-Deviation
16, 2, 5038.522000, 140.069
16, 3, 3054.264000, 97.8628
16, 4, 3097.108889, 68.4087
16, 5, 3069.494000, 60.0825
16, 6, 2999.591000, 96.4012
16, 7, 3089.235000, 72.6918
16, 8, 3074.037000, 56.9623
16, 9, 3349.823000, 48.653
16, 10, 3300.794000, 58.1397
16, 11, 3304.450000, 64.1558
16, 12, 3410.340000, 80.8156
16, 13, 3507.377778, 74.3469
16, 14, 3431.355000, 96.4394
