N, M, Mean, Standard-Deviation
12, 2, 6362.549000, 202.58
12, 3, 4450.057000, 164.234
12, 4, 3935.876000, 72.4326
12, 5, 3811.217000, 95.5302
12, 6, 3742.700000, 81.5739
12, 7, 3408.471000, 141.545
12, 8, 3394.721000, 113.488
12, 9, 3439.069000, 89.7292
12, 10, 3278.776000, 87.7734
12, 11, 3046.105000, 151.611
